title,content,category
I just wanted to act: Manish on being a successful actor after 20 years,"Speaking about being successful after 20 years of his career, actor Manish Chaudhari said he never thought about success in a commercial sense. ""I just wanted to act. OTT platforms gave an actor opportunities to do their job sincerely and bring their audience to them,"" he added. Manish said he looks at his characters and tries to understand their conflicts.",entertainment
Shreyas Talpade to be part of Kangana Ranaut's 'Emergency': Report,"Actor Shreyas Talpade will be a part of actress Kangana Ranaut's upcoming film 'Emergency' in which she will portray late Prime Minister Indira Gandhi, as per reports. Kangana has produced the film under her production house Manikarnika Films and will also be directing it. She had earlier directed 2019 film 'Manikarnika: The Queen of Jhansi' which also stars Ankita Lokhande.",entertainment
"Kartik to make cameo in Luv Ranjan's Ranbir, Shraddha-starrer: Report","Actor Kartik Aaryan will be making a special appearance in filmmaker Luv Ranjan's upcoming romantic-comedy film which features Ranbir Kapoor and Shraddha Kapoor, reported Pinkvilla. Kartik and Luv have earlier worked together in 'Pyaar Ka Punchnama', 'Pyaar Ka Punchnama 2', 'Akaash Vani' and 'Sonu Ke Titu Ki Sweety'. Ranbir and Shraddha's untitled film will release in 2023.",entertainment
Bloody brilliant: Tamannaah on Kangana's first look as Indira Gandhi,"Actress Tamannaah Bhatia took to Instagram Stories on Friday to share actress Kangana Ranaut's first look as former Prime Minister Indira Gandhi in the upcoming film 'Emergency'. Tamannaah wrote alongside the poster of 'Emergency', ""Bloody brilliant."" The film is directed by Kangana and produced under her production house Manikarnika Films along with Renu Pitti.",entertainment
"Became poster boy of a cheater, people haven't heard my perspective: Ranbir","
Ranbir Kapoor said in an interview that he was made the ""poster boy of a casanova, of a cheater"". ""People have heard somebody's perspective, somebody's point of view and they haven't heard mine,"" he said. Ranbir, however, added that it doesn't bother him if ""somebody bi**es"" about him or if anyone says anything bad about him.",entertainment
"You work hard to get popular, when you get popular you hide: Ranbir","Actor Ranbir Kapoor has said that any actor who says they don't enjoy the attention they get will be lying. ""You work so hard to get popular, then when you get popular you go and hide. It's ironic,"" he added. Ranbir further said he wishes he could hold on to some personal life and keep it private but it's okay.",entertainment
"I lived in a small room, there were 7-8 of us: Actor Anil Kapoor","Recalling the time when his family was struggling financially, Anil Kapoor said, ""[We lived] in a small room where there were...seven-eight of us."" ""My mother and father [earlier lived in]...an outhouse,"" added Anil. Anil stated his life's turning point was when he was informed that his father had heart issues, adding he started working as a spot boy at 17.",entertainment
"John, 'Special OPS' director Shivam team up for a geopolitical thriller","
Shivam Nair, who helmed 'Special OPS' and 'Naam Shabana', has said he is working on a geopolitical thriller which will feature John Abraham in the lead role. ""I have been working on this...A lot of hard work and research has gone into the creation of the story structure and this script,"" he said. John is currently working on action-thriller 'Tehran'.  ",entertainment
He'd keep telling Alia and me 'Go and get married': Ranbir on father Rishi,"Discussing his late father and actor Rishi Kapoor, actor Ranbir Kapoor said, ""We spent a lot of time with him in New York in the hospital, Alia Bhatt and [me], and he kept telling us, 'Why're you...wasting...time?'"" ""Go and get married...Why're you sitting in the hospital,"" added Ranbir, sharing his father's words. ""He always used to joke around,"" stated Ranbir.",entertainment
I want to play negative characters like Thanos or Joker: Sanjay Dutt,"Actor Sanjay Dutt stated that he wants to play negative characters like Thanos from the 'Avengers' films or Joker from 'The Dark Knight'. ""I don't like to play all-negative characters. There has to be something about that character so you say yes,"" he added. The actor said his character Kancha from 2012 film 'Agneepath' was menacing but read Bhagavad Gita.",entertainment
My dad likes my films when I'm not remaking his films: Sara Ali Khan,"Actress Sara Ali Khan recently appeared on celebrity talk show 'Koffee With Karan' and was asked whether her father actor Saif Ali Khan likes her films. The actress answered, ""My dad likes my films when I'm not remaking his films."" Sara worked in 2020 film 'Love Aaj Kal' which was a spiritual sequel of Saif's 2009 film 'Love Aaj Kal'.",entertainment
Bagwati in background: Abhay on 11 yrs of 'Zindagi Na Milegi Dobara',"Actor Abhay Deol shared a series of selfies on Instagram, writing in the caption, ""It's not what you wear but how you wear it...#bagwatiinthebackgroundof1stpic #cheapbagwati #immacheapbagwati."" One of the luxury bags in the film 'Zindagi Na Milegi Dobara', which has completed 11 years since its release, was called Bagwati. The Zoya Akhar directorial also features Hrithik Roshan and Farhan Akhtar.",entertainment
"'Chup' is a commercial thriller, will release in theatres: Director","Director R Balki has said his upcoming film 'Chup', starring Sunny Deol and Dulquer Salmaan, is a ""commercial thriller"", which will be released in theatres in the next two months. ""[It's] in a world never done before. The thought is very relevant today,"" Balki added. Pooja Bhatt and Shreya Dhanwanthary are also part of the film. ",entertainment
"Playing quintessential B'wood hero is hardest, easy to do good film: Ranbir","Actor Ranbir Kapoor said playing a quintessential Bollywood hero is the hardest, adding that acting in a good film is ""easy"". ""There's a lot that goes [into it]...It takes the right amount of conviction...[and also]...heaps of luck,"" stated Ranbir. Discussing his film 'Shamshera', Ranbir said he may not have had the confidence to do such a film 10 years ago.",entertainment
I heard story & felt I knew characters that were created: Ruchir on 'Ghar...',"Director Ruchir Arun said that when he heard script of 'Ghar Waapsi', he felt he knew the characters. ""I felt like I was born in a house like the one in the story...I knew this father, this mother, the siblings...I knew this city and I knew this world. It was where I was born and I grew up,"" he added.",entertainment
